item_id,level,tier
minecraft:heavy_weighted_pressure_plate,3,罕见
minecraft:brown_concrete_powder,2,稀有
minecraft:white_glazed_terracotta,2,稀有
minecraft:cyan_stained_glass,2,稀有
generated_mod:trading_platform,4,史诗
mcphone:phone,3,罕见
minecraft:hopper,2,稀有
minecraft:crimson_hyphae,1,普通
minecraft:prismarine,3,罕见
minecraft:white_stained_glass_pane,2,稀有
minecraft:mangrove_boat,1,普通
minecraft:bamboo_fence,1,普通
minecraft:crimson_stairs,1,普通
minecraft:light_blue_glazed_terracotta,2,稀有
minecraft:purple_concrete_powder,2,稀有
minecraft:jungle_door,1,普通
minecraft:lever,1,普通
minecraft:oak_wood,1,普通
minecraft:birch_button,1,普通
minecraft:smooth_quartz_stairs,3,罕见
minecraft:jungle_sign,1,普通
minecraft:yellow_glazed_terracotta,2,稀有
minecraft:gray_stained_glass,2,稀有
minecraft:diorite_stairs,2,稀有
minecraft:acacia_button,1,普通
minecraft:polished_andesite,2,稀有
minecraft:waxed_weathered_cut_copper_stairs,2,稀有
minecraft:spruce_boat,1,普通
minecraft:polished_diorite_stairs,2,稀有
minecraft:jungle_pressure_plate,1,普通
minecraft:pink_stained_glass,2,稀有
minecraft:cherry_planks,1,普通
minecraft:brown_stained_glass,2,稀有
minecraft:warped_stairs,1,普通
minecraft:lime_stained_glass,2,稀有
minecraft:snow_block,1,普通
minecraft:waxed_cut_copper_stairs,3,罕见
minecraft:mangrove_chest_boat,1,普通
minecraft:quartz_pillar,3,罕见
minecraft:mangrove_stairs,1,普通
minecraft:chiseled_nether_bricks,4,史诗
minecraft:jungle_boat,1,普通
minecraft:snow,1,普通
minecraft:purple_glazed_terracotta,2,稀有
minecraft:cherry_chest_boat,1,普通
minecraft:birch_sign,1,普通
minecraft:mossy_stone_brick_stairs,1,普通
minecraft:dark_prismarine_stairs,3,罕见
minecraft:warped_hyphae,1,普通
minecraft:oak_slab,1,普通
minecraft:bone_block,1,普通
minecraft:bamboo_fence_gate,1,普通
minecraft:target,3,罕见
minecraft:mangrove_wood,1,普通
minecraft:orange_terracotta,2,稀有
minecraft:oak_planks,1,普通
minecraft:yellow_concrete_powder,2,稀有
minecraft:cyan_terracotta,2,稀有
minecraft:light_gray_carpet,3,罕见
minecraft:mud_bricks,2,稀有
minecraft:mossy_cobblestone,1,普通
minecraft:crimson_hanging_sign,2,稀有
minecraft:lime_glazed_terracotta,2,稀有
minecraft:nether_brick_wall,3,罕见
minecraft:birch_wood,1,普通
minecraft:acacia_planks,1,普通
minecraft:bamboo_hanging_sign,2,稀有
minecraft:birch_fence_gate,1,普通
minecraft:crimson_trapdoor,1,普通
minecraft:crimson_fence_gate,1,普通
minecraft:chest_minecart,2,稀有
minecraft:gray_terracotta,2,稀有
minecraft:comparator,2,稀有
minecraft:andesite_stairs,2,稀有
minecraft:tnt_minecart,3,罕见
minecraft:birch_slab,1,普通
minecraft:light_blue_terracotta,2,稀有
minecraft:spruce_fence,1,普通
minecraft:magenta_concrete_powder,2,稀有
minecraft:cherry_boat,1,普通
minecraft:jungle_planks,1,普通
minecraft:mangrove_hanging_sign,2,稀有
minecraft:crimson_fence,1,普通
minecraft:acacia_wood,1,普通
minecraft:acacia_fence,1,普通
minecraft:warped_fence_gate,1,普通
minecraft:brick_slab,3,罕见
minecraft:red_nether_brick_slab,3,罕见
minecraft:light_gray_concrete_powder,2,稀有
minecraft:yellow_wool,3,罕见
minecraft:tinted_glass,3,罕见
minecraft:cherry_door,1,普通
minecraft:granite_slab,3,罕见
minecraft:cut_copper_stairs,3,罕见
minecraft:mangrove_fence,1,普通
minecraft:dark_oak_pressure_plate,1,普通
minecraft:red_concrete_powder,2,稀有
minecraft:cherry_hanging_sign,2,稀有
minecraft:green_stained_glass,2,稀有
minecraft:diorite_slab,2,稀有
minecraft:blue_concrete_powder,2,稀有
minecraft:orange_glazed_terracotta,2,稀有
minecraft:polished_granite_slab,3,罕见
minecraft:light_blue_stained_glass,2,稀有
minecraft:acacia_boat,1,普通
minecraft:dispenser,3,罕见
minecraft:quartz_slab,3,罕见
minecraft:acacia_sign,1,普通
minecraft:jungle_fence_gate,1,普通
minecraft:purpur_stairs,3,罕见
minecraft:smooth_quartz,3,罕见
minecraft:birch_chest_boat,1,普通
minecraft:iron_bars,2,稀有
minecraft:black_carpet,3,罕见
minecraft:red_glazed_terracotta,2,稀有
minecraft:mud_brick_wall,2,稀有
minecraft:spruce_fence_gate,1,普通
minecraft:white_carpet,3,罕见
minecraft:orange_concrete_powder,2,稀有
minecraft:dropper,3,罕见
minecraft:dark_oak_planks,1,普通
minecraft:acacia_stairs,1,普通
minecraft:pink_concrete_powder,2,稀有
minecraft:prismarine_wall,3,罕见
minecraft:spruce_wood,1,普通
minecraft:magenta_stained_glass_pane,2,稀有
minecraft:oak_fence,1,普通
minecraft:granite_wall,3,罕见
minecraft:popped_chorus_fruit,3,罕见
minecraft:polished_andesite_stairs,2,稀有
minecraft:dark_oak_door,1,普通
minecraft:purpur_pillar,4,史诗
minecraft:waxed_exposed_cut_copper_stairs,2,稀有
minecraft:mud_brick_stairs,2,稀有
minecraft:light_blue_concrete_powder,2,稀有
minecraft:brown_terracotta,2,稀有
minecraft:dark_oak_stairs,1,普通
minecraft:birch_fence,1,普通
minecraft:brick_stairs,3,罕见
minecraft:waxed_cut_copper_slab,3,罕见
minecraft:cyan_wool,3,罕见
minecraft:dark_prismarine_slab,3,罕见
minecraft:purple_terracotta,2,稀有
minecraft:red_nether_brick_stairs,3,罕见
minecraft:blue_terracotta,2,稀有
minecraft:oak_door,1,普通
minecraft:light_blue_stained_glass_pane,2,稀有
minecraft:mossy_stone_brick_wall,1,普通
minecraft:gray_carpet,3,罕见
minecraft:packed_mud,2,稀有
minecraft:dark_oak_button,1,普通
minecraft:tripwire_hook,2,稀有
minecraft:pink_terracotta,2,稀有
minecraft:repeater,3,罕见
minecraft:oak_stairs,1,普通
minecraft:spruce_planks,1,普通
minecraft:crimson_pressure_plate,1,普通
minecraft:birch_trapdoor,1,普通
minecraft:dark_oak_wood,1,普通
minecraft:mossy_cobblestone_slab,1,普通
minecraft:jungle_stairs,1,普通
minecraft:light_blue_wool,3,罕见
minecraft:waxed_weathered_cut_copper_slab,2,稀有
minecraft:brown_wool,3,罕见
minecraft:acacia_pressure_plate,1,普通
minecraft:trapped_chest,2,稀有
minecraft:cyan_glazed_terracotta,2,稀有
minecraft:warped_planks,1,普通
minecraft:green_stained_glass_pane,2,稀有
minecraft:cyan_stained_glass_pane,2,稀有
minecraft:polished_diorite,2,稀有
minecraft:spruce_slab,1,普通
minecraft:green_wool,3,罕见
minecraft:mangrove_pressure_plate,1,普通
minecraft:yellow_stained_glass,2,稀有
minecraft:dark_oak_sign,1,普通
mod_3ce985ee:computer_monitor,4,史诗
minecraft:mangrove_sign,1,普通
minecraft:smooth_quartz_slab,3,罕见
minecraft:observer,3,罕见
minecraft:honeycomb_block,3,罕见
minecraft:spruce_hanging_sign,2,稀有
minecraft:sticky_piston,4,史诗
mod_3ce985ee:memory_stick,4,史诗
minecraft:acacia_slab,1,普通
minecraft:magenta_carpet,3,罕见
minecraft:granite_stairs,3,罕见
generated_mod:dollar,5,传说
minecraft:coal_block,3,罕见
minecraft:mossy_stone_brick_slab,1,普通
minecraft:nether_bricks,3,罕见
minecraft:waxed_weathered_copper,2,稀有
minecraft:black_wool,3,罕见
minecraft:acacia_fence_gate,1,普通
minecraft:hay_block,3,罕见
minecraft:dark_oak_slab,1,普通
minecraft:jungle_button,1,普通
minecraft:spruce_button,1,普通
minecraft:light_blue_carpet,3,罕见
minecraft:cut_copper_slab,3,罕见
minecraft:red_stained_glass,2,稀有
minecraft:jungle_wood,1,普通
minecraft:prismarine_stairs,3,罕见
minecraft:birch_hanging_sign,2,稀有
minecraft:acacia_door,1,普通
minecraft:prismarine_slab,3,罕见
minecraft:purple_carpet,3,罕见
minecraft:white_terracotta,2,稀有
minecraft:magenta_stained_glass,2,稀有
minecraft:light_gray_stained_glass,2,稀有
generated_mod:public_market,4,史诗
minecraft:light_gray_terracotta,2,稀有
minecraft:magenta_glazed_terracotta,2,稀有
minecraft:daylight_detector,2,稀有
minecraft:yellow_terracotta,2,稀有
minecraft:lime_terracotta,2,稀有
minecraft:warped_slab,1,普通
minecraft:waxed_exposed_copper,2,稀有
minecraft:blue_stained_glass_pane,2,稀有
minecraft:quartz_stairs,3,罕见
minecraft:birch_planks,1,普通
minecraft:dark_oak_boat,1,普通
minecraft:magenta_wool,3,罕见
minecraft:melon,1,普通
minecraft:cut_copper,3,罕见
minecraft:red_terracotta,2,稀有
minecraft:orange_wool,3,罕见
minecraft:warped_pressure_plate,1,普通
minecraft:black_stained_glass,2,稀有
minecraft:waxed_oxidized_cut_copper,2,稀有
minecraft:green_carpet,3,罕见
minecraft:blue_wool,3,罕见
minecraft:lime_stained_glass_pane,2,稀有
minecraft:jungle_trapdoor,1,普通
minecraft:blue_glazed_terracotta,2,稀有
minecraft:granite,3,罕见
minecraft:dark_oak_hanging_sign,2,稀有
minecraft:green_concrete_powder,2,稀有
minecraft:blue_stained_glass,2,稀有
minecraft:cherry_button,1,普通
minecraft:green_glazed_terracotta,2,稀有
minecraft:cracked_nether_bricks,3,罕见
minecraft:blue_carpet,3,罕见
minecraft:calibrated_sculk_sensor,3,罕见
minecraft:netherite_ingot,5,传说
minecraft:netherite_scrap,5,传说
minecraft:diamond,4,史诗
